scenario,years,window_start,leverage,index_log_growth,index_volatility,index_last_two_year_return,actual_start,actual_end,contributed,final_value,profit,roi,worst_loss_on_deposits,lump_return,max_nav_drawdown
higher_financing,10,2011-02-01,1,0.18555616901799032,0.19928713540030493,0.9648155143869115,2011-02-01,2021-02-01,52300.0,174256.1468842204,121956.14688422039,2.331857493006126,-0.11698998884125433,5.267327806158429,-0.2798076143902245
higher_financing,10,2011-02-01,2,0.18555616901799032,0.19928713540030493,0.9648155143869115,2011-02-01,2021-02-01,52300.0,425662.70618719555,373362.70618719555,7.1388662750897804,-0.24059496381455814,19.073039517141485,-0.5165595429712524
higher_financing,10,2011-02-01,3,0.18555616901799032,0.19928713540030493,0.9648155143869115,2011-02-01,2021-02-01,52300.0,855883.3533040767,803583.3533040767,15.364882472353283,-0.3593765411880876,44.77626522164024,-0.6992954440615236
higher_financing,10,2011-03-01,1,0.18621530570015435,0.1997605963879069,0.8922205594286479,2011-03-01,2021-03-01,52300.0,172736.76422602718,120436.76422602718,2.302806199350424,-0.11471543595380462,5.308783978375767,-0.2798076143902245
higher_financing,10,2011-03-01,2,0.18621530570015435,0.1997605963879069,0.8922205594286479,2011-03-01,2021-03-01,52300.0,418768.82581369625,366468.82581369625,7.0070521188087245,-0.23517705201928552,19.301919312200415,-0.5165595429712524
higher_financing,10,2011-03-01,3,0.18621530570015435,0.1997605963879069,0.8922205594286479,2011-03-01,2021-03-01,52300.0,835494.3768783057,783194.3768783057,14.975035886774487,-0.35132699431308356,45.42776460208156,-0.6992954440615236
higher_financing,10,2011-04-01,1,0.1854075402553756,0.20092018102362771,0.8158239586058547,2011-04-01,2021-04-01,52300.0,171272.83358512653,118972.83358512653,2.2748151737117883,-0.11618743626717454,5.2580208541514475,-0.2798076143902245
higher_financing,10,2011-04-01,2,0.1854075402553756,0.20092018102362771,0.8158239586058547,2011-04-01,2021-04-01,52300.0,410335.29998885054,358035.29998885054,6.845799234968462,-0.23609038811756444,18.88553186593463,-0.5165595429712524
higher_financing,10,2011-04-01,3,0.1854075402553756,0.20092018102362771,0.8158239586058547,2011-04-01,2021-04-01,52300.0,805765.138583059,753465.138583059,14.406599208089082,-0.3510892599884279,43.69602295782945,-0.6992954440615236
higher_financing,10,2011-05-01,1,0.1868441338158534,0.20114998223144298,0.8146476708362471,2011-05-02,2021-04-30,52200.0,175269.69168169826,123069.69168169826,2.357656928768166,-0.11376262523146141,5.342166598948834,-0.2798076143902245
higher_financing,10,2011-05-01,2,0.1868441338158534,0.20114998223144298,0.8146476708362471,2011-05-02,2021-04-30,52200.0,431913.3561380326,379713.3561380326,7.274202224866526,-0.22978785320341133,19.407701402627403,-0.5165595429712524
higher_financing,10,2011-05-01,3,0.1868441338158534,0.20114998223144298,0.8146476708362471,2011-05-02,2021-04-30,52200.0,874248.2656668654,822048.2656668654,15.748051066415044,-0.3411877365888507,45.40418551502519,-0.6992954440615236
higher_financing,10,2011-06-01,1,0.1886161722352909,0.2014956112454823,0.9920372284132781,2011-06-01,2021-06-01,52300.0,170766.27604669542,118466.27604669542,2.2651295611222833,-0.10514300538685517,5.462108691861809,-0.2798076143902245
higher_financing,10,2011-06-01,2,0.1886161722352909,0.2014956112454823,0.9920372284132781,2011-06-01,2021-06-01,52300.0,410053.25279641757,357753.25279641757,6.840406363220221,-0.2128408515080954,20.15467665872227,-0.5165595429712524
higher_financing,10,2011-06-01,3,0.1886161722352909,0.2014956112454823,0.9920372284132781,2011-06-01,2021-06-01,52300.0,809168.2750111789,756868.2750111789,14.471668738263459,-0.3176419971354858,47.868758305665374,-0.6992954440615236
higher_financing,10,2011-07-01,1,0.19339732863610465,0.20106625313887538,0.9077243205469112,2011-07-01,2021-07-01,52300.0,179692.76514495173,127392.76514495173,2.4358081289665723,-0.11540020218539593,5.77863143708645,-0.2798076143902245
higher_financing,10,2011-07-01,2,0.19339732863610465,0.20106625313887538,0.9077243205469112,2011-07-01,2021-07-01,52300.0,455168.53659377847,402868.53659377847,7.703031292424063,-0.22772417845829396,22.316906541925515,-0.5165595429712524
higher_financing,10,2011-07-01,3,0.19339732863610465,0.20106625313887538,0.9077243205469112,2011-07-01,2021-07-01,52300.0,949365.9403785485,897065.9403785485,17.1523124355363,-0.3333641921525884,55.69182585545829,-0.6992954440615236
higher_financing,10,2011-08-01,1,0.19652497859807458,0.2007070775674794,0.9145062047992498,2011-08-01,2021-07-30,52200.0,181595.39274987663,129395.39274987663,2.478838941568518,-0.07436165065368772,5.986585254142425,-0.2798076143902245
higher_financing,10,2011-08-01,2,0.19652497859807458,0.2007070775674794,0.9145062047992498,2011-08-01,2021-07-30,52200.0,467597.10145629564,415397.10145629564,7.957798878473097,-0.14879105791012537,23.80699871605517,-0.5165595429712524
higher_financing,10,2011-08-01,3,0.19652497859807458,0.2007070775674794,0.9145062047992498,2011-08-01,2021-07-30,52200.0,994430.3731506198,942230.3731506198,18.050390290241758,-0.22204472320796598,61.346512148899336,-0.6992954440615236
